edges (resource, consumer);mass_ratio
('48 Primary (heterotrophic) producer bacteria', '45 Substrate-ingesting earthworm');6535036577810.12
('48 Primary (heterotrophic) producer bacteria', '44 Substrate-inhabiting enchytraeid');1089586009.4799461
('92 Predatory mite (parasitizing mites and nematodes)', '62 Predatory mite (attacking arthropods)');831763771.102671
('48 Primary (heterotrophic) producer bacteria', '34 Bacterivore enchytraeid');329873288.5968292
('48 Primary (heterotrophic) producer bacteria', '81 Omnivore nematode');16118041.693324335
('37 Bacterivore flagellates', '34 Bacterivore enchytraeid');5938568.838548276
('48 Primary (heterotrophic) producer bacteria', '31 Bacterivore nematode');4456189.287793432
('36 Bacterivore amoebae', '34 Bacterivore enchytraeid');765035.8643958631
"('48 Primary (heterotrophic) producer bacteria', '41 ""Passive lifestage, substrate-related nematode""')";396322.69667416246
"('41 ""Passive lifestage, substrate-related nematode""', '72 Generalist mite')";1462.2055238949147
('21 Fungivore nematode', '72 Generalist mite');961.016106949996
('48 Primary (heterotrophic) producer bacteria', '36 Bacterivore amoebae');431.1866984920046
('21 Fungivore nematode', '82 Omnivore mite');321.86578856986523
('31 Bacterivore nematode', '72 Generalist mite');130.04502252839492
('51 Predating nematode (consuming nematodes)', '72 Generalist mite');109.34188417541944
('48 Primary (heterotrophic) producer bacteria', '37 Bacterivore flagellates');55.54760710283674
('31 Bacterivore nematode', '82 Omnivore mite');43.55498666773714
"('41 ""Passive lifestage, substrate-related nematode""', '52 Predatory mite (attacking nematodes)')";40.723668113155995
"('41 ""Passive lifestage, substrate-related nematode""', '81 Omnivore nematode')";40.66898471518984
('51 Predating nematode (consuming nematodes)', '82 Omnivore mite');36.62104258120144
('81 Omnivore nematode', '72 Generalist mite');35.95382412752442
('52 Predatory mite (attacking nematodes)', '72 Generalist mite');35.905545635820104
('21 Fungivore nematode', '52 Predatory mite (attacking nematodes)');26.765116361057796
('21 Fungivore nematode', '81 Omnivore nematode');26.729176388619283
"('41 ""Passive lifestage, substrate-related nematode""', '51 Predating nematode (consuming nematodes)')";13.372785140130457
('81 Omnivore nematode', '82 Omnivore mite');12.041739853492414
('11 Plant-feeding nematode', '72 Generalist mite');9.654103099253735
('21 Fungivore nematode', '51 Predating nematode (consuming nematodes)');8.789094080436898
('62 Predatory mite (attacking arthropods)', '72 Generalist mite');7.001023425936988
('13 Plant-feeding insect (springtail)', '72 Generalist mite');6.594894992275048
('52 Predatory mite (attacking nematodes)', '62 Predatory mite (attacking arthropods)');5.1286138399136485
('31 Bacterivore nematode', '52 Predatory mite (attacking nematodes)');3.621864540018558
('31 Bacterivore nematode', '81 Omnivore nematode');3.6170011308710572
('11 Plant-feeding nematode', '82 Omnivore mite');3.233375054282795
('51 Predating nematode (consuming nematodes)', '52 Predatory mite (attacking nematodes)');3.045264519426708
('82 Omnivore mite', '72 Generalist mite');2.9857665557437607
('22 Microphytophage mite (feeding on fungi)', '72 Generalist mite');2.8673575923356798
('12 Macrophytophage and panphytophage mite', '72 Generalist mite');2.7183288292836925
('13 Plant-feeding insect (springtail)', '82 Omnivore mite');2.20877783616015
('34 Bacterivore enchytraeid', '72 Generalist mite');1.7567510203293841
('31 Bacterivore nematode', '51 Predating nematode (consuming nematodes)');1.1893431644159436
('81 Omnivore nematode', '52 Predatory mite (attacking nematodes)');1.0013445970768413
('51 Predating nematode (consuming nematodes)', '51 Predating nematode (consuming nematodes)');1.0
('62 Predatory mite (attacking arthropods)', '62 Predatory mite (attacking arthropods)');1.0
('36 Bacterivore amoebae', '36 Bacterivore amoebae');1.0
('72 Generalist mite', '72 Generalist mite');1.0
