PREY;11 Plant-feeding nematode;31 Bacterivore nematode;23 Fungivore insect ;24 Fungivore enchytraeid;21 Fungivore nematode;81 Omnivore nematode;13 Plant-feeding insect (springtail);51 Predating nematode (consuming nematodes);72 Generalist mite;34 Bacterivore enchytraeid;82 Omnivore mite;12 Macrophytophage and panphytophage mite;22 Microphytophage mite (feeding on fungi);62 Predatory mite (attacking arthropods);52 Predatory mite (attacking nematodes);92 Predatory mite (parasitizing mites and nematodes)
11 Plant-feeding nematode;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1
31 Bacterivore nematode;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1
23 Fungivore insect ;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
24 Fungivore enchytraeid;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
21 Fungivore nematode;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1
81 Omnivore nematode;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1
13 Plant-feeding insect (springtail);0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
51 Predating nematode (consuming nematodes);0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1
72 Generalist mite;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
34 Bacterivore enchytraeid;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
82 Omnivore mite;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
12 Macrophytophage and panphytophage mite;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1
22 Microphytophage mite (feeding on fungi);0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
62 Predatory mite (attacking arthropods);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
52 Predatory mite (attacking nematodes);0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
92 Predatory mite (parasitizing mites and nematodes);0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
