Record_ID	Plot_ID	Replicate	Web_ID	MajorGroup	PhylogeneticGroup	OTU	Guild	Trophic_ID	Taxon_ID	TrophicLevel	Log10(Abundance)	Log10(Mass)	Log10(Biomass)	TotalSoil-C	TotalSoil-N	TotalSoil-P	Soil-pH
1	A	1	A1	Mesofauna	Acarina	Achipteria coleoptrata	Macrophytophage and panphytophage mite	12	12001	2	2.88	1.31	4.19	1916.67	173.57	18.86	5
2	A	1	A1	Mesofauna	Acarina	Eupodidae	Omnivore mite	82	82047	3	3.06	0.44	3.5	1916.67	173.57	18.86	5
3	A	2	A2	Mesofauna	Acarina	Achipteria coleoptrata	Macrophytophage and panphytophage mite	12	12001	2	2.88	1.14	4.02	2416.67	167.86	17.6	5
4	A	2	A2	Mesofauna	Acarina	Bdellidae	Predatory mite (attacking arthropods)	62	62015	3	2.58	0.92	3.5	2416.67	167.86	17.6	5
5	A	2	A2	Mesofauna	Acarina	Eupodidae	Omnivore mite	82	82047	3	2.88	0.36	3.24	2416.67	167.86	17.6	5
6	A	2	A2	Mesofauna	Acarina	Oribatida	Omnivore mite	82	82090	3	2.58	0.02	2.6	2416.67	167.86	17.6	5
7	A	2	A2	Mesofauna	Acarina	Pachygnatidae	Macrophytophage and panphytophage mite	12	12092	2	2.58	0.28	2.86	2416.67	167.86	17.6	5
8	A	2	A2	Mesofauna	Acarina	Pygmephorus	Microphytophage mite (feeding on fungi)	22	22112	2	2.88	0.18	3.06	2416.67	167.86	17.6	5
9	A	2	A2	Mesofauna	Acarina	Tydeidae	Macrophytophage and panphytophage mite	12	12139	2	2.88	-0.1	2.78	2416.67	167.86	17.6	5
10	A	2	A2	Mesofauna	Acarina	Uropoda orbicularis	Generalist mite	72	72142	3	2.88	1.4	4.28	2416.67	167.86	17.6	5
11	A	3	A3	Mesofauna	Acarina	Alliphis siculus	Predatory mite (attacking nematodes)	52	52004	3	2.88	0.21	3.09	3083.33	171.43	16.19	4.9
12	A	3	A3	Mesofauna	Acarina	Epicriopsis	Microphytophage mite (feeding on fungi)	22	22040	2	2.88	0.05	2.93	3083.33	171.43	16.19	4.9
13	A	3	A3	Mesofauna	Acarina	Eupodidae	Omnivore mite	82	82047	3	3.9	0.45	4.35	3083.33	171.43	16.19	4.9
14	A	3	A3	Mesofauna	Acarina	Liebstadia similis	Microphytophage mite (feeding on fungi)	22	22068	2	2.88	1.09	3.97	3083.33	171.43	16.19	4.9
15	A	3	A3	Mesofauna	Acarina	Pachygnatidae	Macrophytophage and panphytophage mite	12	12092	2	2.88	0.71	3.59	3083.33	171.43	16.19	4.9
16	A	3	A3	Mesofauna	Acarina	Parasitus	Generalist mite	72	72096	3	2.58	1.52	4.1	3083.33	171.43	16.19	4.9
